"Application 
Name",Framework,"Application
Link","Log Path on
Server",Dataset Name,Dataset Size,Cache Size,# epoch,Type,I/O rate,Compute_time,"Execution Time
 on SSD real","SSD_cacl_time
from cache (our calc)",Error Rate (our calc),"SSD_cacl_time
from cache (REAL)",Error Rate (REAL),"Average Error 
Rate on SSD","SSD calc
 from HDD","Error Rate 
(SSD from HDD)","Average Error 
Rate on SSD from HDD","Execution Time
on Cache real","Execution Time
 on SAN_HDD real","HDD_cacl_time
from cache (our calc)",Error Rate (our calc),"HDD_cacl_time
from cache (REAL)",Error Rate (REAL),"Average Error
Rate on HDD","HDD calc time
from ssd","Error Rate 
(HDD from SSD)","Average Error 
Rate on HDD from SSD",SSD BW(MB/s),SAN_HDD BW(MB/s),Cache BW(MB/s),CacheBW_Calc,Hit Ratio,"GPU_Util
Cache","GPU_Util
SSD","GPU_Util
HDD",Disk_Util_cache,Disk_Util_ssd,Disk_Util_hdd,CPU_Util_cache,CPU_Util_ssd,CPU_Util_hdd,Read Sequential,Machine
Yolov8,pytorch,https://github.com/ultralytics/ultralytics,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,39G,20G,2,CPU intensive,0.6834,28.8106,89,60.85071217,31.6284133,61.49271712,30.91,11.14857143,151.29,69.99,18.65428571,91,92,91.15150396,0.9222783055,92.40066216,0.44,5.929285714,81.03179471,11.92,10.38076923,3.5,6.81,6.66,6.79345,0.5,12.57,,-,68.34,18.42,68.15,5.78,6.71,5.95,,208
"Imagenet 
(resnet 18)",pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,High hit,0.9813,4.6189,147,141.8913449,3.475275603,135.9420734,7.52,11.14857143,149.63,1.79,18.65428571,247,274,258.1916107,5.769485163,247.2019843,9.78,5.929285714,267.1453458,2.5,10.38076923,66.5,36,36.03,37.66225,5.45,52.47,,-,98.13,96.47,98.97,18.36,23.05,18.73,,208
Alexnet,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,Low hit,0.9854,2.7886,115,141.6409594,23.16605163,148.7196029,29.32,11.14857143,148.1,28.78,18.65428571,191,204,194.7816296,4.518809002,204.5693654,0.28,5.929285714,157.4584253,22.81,10.38076923,66.55,48.13,51.6,49.09705,5.25,20,,-,98.54,96.47,99,24.3,23,23.5,,208
Densenet121-pythorch,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,2,High hit,0.926,28.934,300,213.1693507,28.94354975,306.6351068,2.21,11.14857143,332.73,10.91,18.65428571,391,624,412.5507344,33.88610026,607.1660889,2.7,5.929285714,514.277628,17.58,10.38076923,15.45,7.42,11.85,7.86165,5.5,12.05,89.28,-,92.6,66,89.81,7.08,7,4.97,,208
MobileNet_V2,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,CPU intensive,0.9855,3.3205,224,225.7939761,0.8008821809,224.6249532,0.28,11.14857143,223.63,0.17,18.65428571,229,227,229.1821616,0.961304687,227.9953349,0.44,5.929285714,227.1739981,0.08,10.38076923,43.33,42.68,42.49,42.71445,5.3,84.84,89.49,87.82,98.55,93.04,99.11,23.63,17.17,24.57,68.96,208
VGG19,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,CPU intensive,0.8861,97.1567,853,851.1029983,0.2223917528,853.6601252,0.08,11.14857143,851.01,0.23,18.65428571,853,853,853.0835928,0.009799862522,855.6474371,0.31,5.929285714,854.1031486,0.13,10.38076923,11.45,11.42,11.46,11.421263,4.21,99.3,99.03,99.17,88.61,49.23,88.87,9.3,8.21,9.99,69.38,208
regnet_y_1_6gf,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,Low hit,0.8888,96.9664,867,840.5422711,3.051641168,839.5378597,3.17,11.14857143,915.01,5.54,18.65428571,872,880,873.7255294,0.7130080188,872.6762946,0.83,5.929285714,848.9067607,3.53,10.38076923,10.98,11.47,11.46,11.44452,5.2,93.53,91.63,93.69,88.88,48.85,89.14,7.96,6.62,8.59,65.16,208
shufflenet_v2_x0_5,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/evaluation/pares_result,ImageNet,146G,70G,4,High hit,0.9866,3.7118,185,136.6026863,26.1607101,256.3596866,38.57,11.14857143,195.34,5.59,18.65428571,277,414,294.0289827,28.97850659,555.6535072,34.22,5.929285714,392.5628596,5.18,10.38076923,52.3,23.94,48.35,25.431736,5.26,23.44,24.76,11.88,98.66,94.71,97.4,25.59,19.29,14.79,23,208
wide_resnet101_2,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,CPU intensive,0.7443,413.2112,1614,1528.588614,5.29190743,1614.0152,0,11.14857143,1526.7,5.41,18.65428571,1616,1617,1620.208902,0.1984478457,1712.652671,5.92,5.929285714,1650.724264,2.09,10.38076923,6.06,5.6,6.05,5.619596,4.26,99.03,99.34,93.85,74.43,27.7,73.57,6.26,5.43,5.55,69.4,208
mobilenet_v3_small,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,Low hit,0.9869,3.013,186,142.6435856,23.30990023,136.4852817,26.62,11.14857143,396.07,112.94,18.65428571,230,241,234.7528374,2.592183654,224.5321229,6.83,5.929285714,148.9984785,38.17,10.38076923,28.56,47.4,48.57,46.427856,5.16,34.6,4.94,31.36,98.69,50.05,97.54,25.53,26.04,25.72,67.54,210
